195 Total Stars
55 x 80 y
['crew anamoly', 'malfunction', 'collision']
Orion
B1485O
         216302 function calls (216210 primitive calls) in 2.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.792    0.792    0.978    0.978 galaxy.py:88(__init__)
        1    0.315    0.315    0.716    0.716 galaxy.py:38(__init__)
    71041    0.153    0.000    0.153    0.000 {built-in method hypot}
        1    0.109    0.109    0.115    0.115 <frozen importlib._bootstrap>:121(_write_atomic)
    11688    0.082    0.000    0.114    0.000 random.py:530(gauss)
    10041    0.080    0.000    0.173    0.000 random.py:165(randrange)
        4    0.072    0.018    0.075    0.019 lynn_custom.py:86(st_dev)
    10041    0.063    0.000    0.093    0.000 random.py:216(_randbelow)
        1    0.039    0.039    0.039    0.039 {built-in method compile}
    10041    0.038    0.000    0.210    0.000 random.py:210(randint)
    30779    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
      339    0.026    0.000    0.026    0.000 {method 'sort' of 'list' objects}
    15987    0.025    0.000    0.025    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.021    0.021    0.024    0.024 galaxy.py:140(__init__)
        1    0.019    0.019    0.025    0.025 galaxy.py:490(star_typer)
        1    0.019    0.019    1.906    1.906 galaxy.py:20(__init__)
       11    0.015    0.001    0.018    0.002 galaxy.py:433(sparse)
     5844    0.013    0.000    0.013    0.000 {built-in method cos}
        1    0.013    0.013    0.021    0.021 lynn_custom.py:71(values_to_list)
       15    0.012    0.001    0.015    0.001 galaxy.py:421(dense)
       11    0.010    0.001    0.011    0.001 galaxy.py:446(peace)
      266    0.009    0.000    0.028    0.000 lynn_custom.py:56(y_dict_sort)
        1    0.008    0.008    0.047    0.047 galaxy.py:204(__init__)
      195    0.008    0.000    0.009    0.000 lynn_custom.py:398(to_base)
        4    0.008    0.002    0.008    0.002 {built-in method init_builtin}
       65    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:74(_path_join)
     5846    0.007    0.000    0.007    0.000 {built-in method log}
     17/1    0.006    0.000    0.009    0.009 lynn_custom.py:303(splitter)
     1950    0.006    0.000    0.006    0.000 lynn_custom.py:143(linear_rescale)
      390    0.005    0.000    0.007    0.000 galaxy.py:267(collision)
        1    0.005    0.005    0.019    0.019 galaxy.py:514(star_namer)
    10041    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
       85    0.005    0.000    0.005    0.000 {built-in method sum}
     5844    0.004    0.000    0.004    0.000 {built-in method sin}
       30    0.004    0.000    0.004    0.000 {built-in method stat}
    11688    0.004    0.000    0.004    0.000 {method 'random' of '_random.Random' objects}
      195    0.004    0.000    0.004    0.000 galaxy.py:253(distress_beacon)
        1    0.004    0.004    0.004    0.004 {built-in method replace}
     5845    0.003    0.000    0.003    0.000 {built-in method sqrt}
        1    0.003    0.003    0.004    0.004 lynn_custom.py:354(namer)
      390    0.003    0.000    0.004    0.000 galaxy.py:274(crew_anamoly)
        4    0.003    0.001    0.003    0.001 {built-in method loads}
      390    0.003    0.000    0.004    0.000 galaxy.py:240(supply_base)
        2    0.002    0.001    0.002    0.001 galaxy.py:459(danger)
        1    0.002    0.002    0.002    0.002 {built-in method load_dynamic}
        1    0.002    0.002    0.002    0.002 {built-in method open}
      195    0.002    0.000    0.002    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      195    0.002    0.000    0.009    0.000 galaxy.py:282(malfunction)
      195    0.002    0.000    0.004    0.000 galaxy.py:260(pirate_raid)
       19    0.001    0.000    0.002    0.000 {built-in method __build_class__}
        1    0.001    0.001    0.077    0.077 galaxy.py:304(__init__)
      195    0.001    0.000    0.001    0.000 {built-in method round}
      858    0.001    0.000    0.001    0.000 {built-in method floor}
        6    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1031(get_data)
     1020    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      195    0.001    0.000    0.002    0.000 galaxy.py:247(special_substance)
       11    0.001    0.000    0.010    0.001 galaxy.py:412(first)
       17    0.001    0.000    0.013    0.001 <frozen importlib._bootstrap>:1352(find_loader)
        6    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
       12    0.001    0.000    0.001    0.000 {built-in method OpenKey}
        1    0.001    0.001    0.001    0.001 {built-in method dumps}
       39    0.001    0.000    0.023    0.001 lynn_custom.py:101(percentile)
      195    0.001    0.000    0.004    0.000 re.py:183(split)
1554/1553    0.001    0.000    0.001    0.000 {built-in method len}
      195    0.001    0.000    0.001    0.000 re.py:268(_compile)
       19    0.001    0.000    0.001    0.000 galaxy.py:385(should_number)
       19    0.001    0.000    0.001    0.000 lynn_custom.py:168(find_center)
        1    0.000    0.000    0.010    0.010 lynn_custom.py:290(__init__)
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
       10    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1473(_find_module)
        5    0.000    0.000    0.161    0.032 <frozen importlib._bootstrap>:935(get_code)
        4    0.000    0.000    0.001    0.000 galaxy.py:395(a_b)
